name,WangjiaWan North FAD,WangjiaWan North LAD,WangjiaWan South FAD,WangjiaWan South LAD,Fenxiang FAD,Fenxiang LAD,Honghuayuan FAD,Honghuayuan LAD,Ludiping FAD,Ludiping LAD,Wangjiawan Riverside FAD,Wangjiawan Riverside LAD
name_1,242.5,273.5,,,158,235,602,637,572,900,,
name_2,,,,,,,534,602,,,,
name_3,200,312,100,159,100,331,602,637,130,1323,716,726
name_4,207,222.5,142,159,158,276,602,637,1243,1288,780,788
name_5,,,,,227,331,602,792,1243,1396,,
name_6,,,,,,,78,133,50,75,,
name_7,,,,,150,247,461,602,130,1288,,
name_8,,,,,,,704,756,354,524,650,672
name_9,,,,,123,169,113,637,190,1142,100,130
name_10,207,222.5,,,123,179,461,1022,270,1753,,
name_11,222.5,230.5,100,117,227,362,534,1022,465,1288,,
name_12,200,340,100,178,100,429.5,534,936,786,826,726,756
name_13,312,336,,,,,,,,,880,900
name_14,200,336,100,195,100,403,133,1022,354,1775,650,900
name_15,207,283.5,,,141,150,133,168,75,354,,
name_16,,,,,,,602,987,1186,1646,672,690
name_17,207,363,169,178,,,,,,,,
name_18,320.5,340,187,195,349,403,1022,1042,1763,1775,,
name_19,230.5,242.5,100,142,,,,,1243,1288,,
name_20,273.5,283.5,,,258,267,704,756,,,,
name_21,252.5,283.5,100,159,258,293,704,826,,,756,770
name_22,,,,,,,,,1243,1646,756,770
name_23,207,353.5,100,217,100,403,133,1052,657,1775,650,802
name_24,230.5,332,,,,,,,,,,
name_25,,,124,178,,,,,,,,
name_26,207,370.5,124,205,218,338,602,1042,946,1753,,
name_27,,,,,,,166,756,75,130,650,672
name_28,,,,,235,247,,,,,,
name_29,207,326,100,169,100,338,461,534,270,1243,650,690
name_30,242.5,312,100,178,123,373,461,1042,732,1753,726,756
name_31,,,,,321,331,,,,,,
